sample,r,theo,border,trans,iso
1461EP,357.863319396973,402331.692883315,501876.641245738,543977.126280046,508549.237232824
1461EP,358.957702636719,404796.199788257,504445.910551319,546949.594230533,511260.960850189
1461EP,360.052085876465,407268.231905123,507334.034139775,550237.461150745,514294.339087353
1461EP,361.146469116211,409747.789233912,510062.027539077,553361.167898983,517133.719955931
1461EP,362.240852355957,412234.871774625,512897.024927807,556494.383090213,520000.359106354
1461EP,363.335235595703,414729.479527261,516125.567753965,559872.286376361,523085.378937405
1461EP,364.429618835449,417231.61249182,519146.296473026,563216.635961383,526133.11369115
1461EP,365.524002075195,419741.270668304,522164.010492767,566524.142281317,529152.344877756
1461EP,366.618385314941,422258.45405671,524951.289485822,569629.990628137,531978.596741412
1461EP,367.712768554688,424783.16265704,527959.719410589,572954.752725499,535012.905034535
1461EP,368.807151794434,427315.396469294,531037.971624225,576310.357933829,538068.162067356
1461EP,369.90153503418,429855.155493471,533714.389093126,579544.045589683,541057.727248157
1461EP,370.995918273926,432402.439729572,536680.603761222,582861.750991553,544091.874121582
1461EP,372.090301513672,434957.249177596,539582.799407705,586108.750391972,547066.390100278
1461EP,373.184684753418,437519.583837544,542379.915143243,589354.584113222,550040.131800304
1461EP,374.279067993164,440089.443709415,545246.040999276,592648.275197884,553040.226237398
1461EP,375.37345123291,442666.828793209,548111.05623148,595979.04657766,556059.912436506
1461EP,376.467834472656,445251.739088927,550761.541923374,599317.924344195,559127.499822539
1461EP,377.562217712402,447844.174596569,553757.193764039,602614.32014862,562125.16125191
1461EP,378.656600952148,450444.135316134,556478.086778018,605892.129347799,565132.882665793
1461EP,379.750984191895,453051.621247623,559316.695205272,609159.112541845,568167.997856291
1461EP,380.845367431641,455666.632391035,562151.076354549,612518.187841079,571231.188464421
1461EP,381.939750671387,458289.16874637,564466.735156804,615790.129915854,574209.871063547
1461EP,383.034133911133,460919.230313629,567542.018338568,619165.840727479,577269.524843119
1461EP,384.128517150879,463556.817092811,570552.427427016,622595.501724007,580390.319600889
1461EP,385.222900390625,466201.929083917,573278.742799754,625893.022546499,583391.72260422
1461EP,386.317283630371,468854.566286947,576684.336589758,629326.598732136,586515.106083018
1461EP,387.411666870117,471514.7287019,579857.290298642,632761.649643777,589623.425759904
1461EP,388.506050109863,474182.416328776,582974.030260716,636178.274952248,592727.555369591
1461EP,389.600433349609,476857.629167576,585959.604813564,639511.952213147,595775.562515501
1461EP,390.694816589356,479540.3672183,589032.622972562,642869.346163522,598820.562710843
1461EP,391.789199829102,482230.630480946,592086.273218795,646343.180685029,601990.500734368
1461EP,392.883583068848,484928.418955517,595296.170085961,649779.175475943,605131.575061001
1461EP,393.977966308594,487633.732642011,598095.473840061,653450.638172543,608468.050879416
1461EP,395.07234954834,490346.571540428,601077.195573814,656951.659413028,611663.001480108
1461EP,396.166732788086,493066.935650769,604263.457100844,660497.499771622,614888.469439955
1461EP,397.261116027832,495794.824973033,607534.937244356,664159.672769867,618239.235097851
1461EP,398.355499267578,498530.239507221,610393.974415621,667578.397253748,621360.462283611
1461EP,399.449882507324,501273.179253332,613425.00595036,671134.182620596,624618.358071308
1461EP,400.54426574707,504023.644211367,616406.318190564,674586.322944682,627749.371990652
1461EP,401.638648986816,506781.634381326,619465.914534112,678046.7772711,630921.820592834
1461EP,402.733032226563,509547.149763207,622507.003118615,681667.834312847,634206.511390166
1461EP,403.827415466309,512320.190357012,625273.892171693,685133.281637952,637360.985478322
